student_id,hours_studied,attendance_pct,prev_grade,study_group,passed,final_exam_result
54,9.3,49.6,,A,0,fail
206,5.7,,,A,0,fail
36,5.6,39.5,,A,0,fail
11,9.7,43.3,,A,1,pass
189,2.2,34.5,68.3,A,0,fail
31,2.9,83.8,71.7,A,0,fail
161,9.9,,,C,0,fail
127,3.7,94.5,,A,0,fail
241,6.8,,,C,0,fail
14,0.4,47.4,,A,0,fail
4,7.1,65.0,89.7,B,0,fail
112,4.5,84.7,,B,0,fail
185,606.6237981702526,58.1,62.5,A,0,fail
42,1.1,35.5,,A,0,fail
248,11.2,41.8,97.7,A,1,pass
86,7.3,51.8,,A,0,fail
67,7.9,89.0,48.1,B,0,fail
157,4.2,69.3,,B,1,pass
65,10.8,,71.6,A,0,fail
142,9.9,81.5,40.8,A,1,pass
75,4.3,93.8,,A,0,fail
230,10.0,63.2,52.0,B,0,fail
235,1.9,42.5,,A,0,fail
95,4.4h,95.8,97.8,B,0,fail
166,10.2,36.5,89.6,C,0,fail
132,7.7h,38.2,82.7,C,0,fail
55,0.4,57.4,,A,0,fail
134,3.5,33.0,,A,0,fail
129,0.9,60.0,,C,0,fail
159,3.9,47.5,,B,0,fail
25,10.1,72.6,,C,1,pass
131,12.0,43.6,64.1,A,0,fail
66,9.4,56.9,54.3,B,0,fail
218,6.1,38.8,72.1,A,0,fail
123,4.3,95.6,,A,0,fail
21,6.1h,,,A,0,fail
29,11.6,82.9,46.5,A,1,pass
180,10.0,89.8,78.6,B,0,fail
92,5.6,99.8,58.8,B,0,fail
140,7.1,89.0,69.7,C,0,fail
128,8.3,60.4,,A,0,fail
231,3.0,95.4,95.0,B,0,fail
225,5.6h,78.8,99.5,A,1,pass
224,3.7,72.1,66.3,A,0,fail
24,3.0,30.2,57.7,B,0,fail
170,2.7,81.4,83.0,B,0,fail
167,5.6h,89.8,67.5,C,0,fail
15,10.7,32.6,,A,1,pass
30,10.1,99.2,44.6,A,1,pass
192,6.9h,72.0,,A,0,fail
19,7.8,91.6,,B,0,fail
200,5.8,79.8,,A,0,fail
216,4.5,41.3,,B,0,fail
100,910.9692147992888,86.8,,C,1,pass
26,9.8,80.2,,A,1,pass
85,10.6,95.1,,B,1,pass
94,7.5,61.5,77.1,C,0,fail
78,11.9,63.0,,B,1,pass
153,2.4,48.0,66.5,C,0,fail
184,10.1,54.6,,A,0,fail
246,8.2,79.0,72.1,A,0,fail
226,3.3h,89.5,98.8,A,0,fail
172,11.7h,46.8,,B,0,fail
72,11.4,63.4,96.4,A,0,fail
45,1.1,52.3,83.7,B,0,fail
7,10.4,67.6,,A,1,pass
13,5.7,49.3,,C,0,fail
173,7.3,66.3,,A,0,fail
6,11.1,58.4,94.1,A,1,pass
90,4.6,65.4,,C,0,fail
3,9.4,57.0,,C,0,fail
221,8.8,89.2,,B,1,pass
148,9.2,57.3,,C,1,pass
115,5.3,51.1,,C,0,fail
119,1.2,39.9,66.7,A,0,fail
113,8.6,,79.5,A,1,pass
202,4.3,53.0,54.7,B,0,fail
110,0.6,35.9,,C,0,fail
135,0.3h,81.9,,A,0,fail
229,8.8,,50.2,B,0,fail
152,9.7,42.2,61.6,C,0,fail
91,8.0,44.7,,C,0,fail
121,11.5,81.0,68.8,B,1,pass
10,2.7,84.6,,A,1,pass
114,7.1,32.8,,B,0,fail
231,3.0,95.4,95.0,B,0,fail
46,1.1,56.3,,A,0,fail
213,6.6,66.4,67.6,B,0,fail
176,4.4,53.2,,C,0,fail
250,8.2,92.7,,C,1,pass
154,1.7,94.9,61.7,A,0,fail
49,2.2,73.0,,A,0,fail
43,5.9,,85.1,A,0,fail
102,9.4h,62.4,,A,1,pass
181,2.7,37.2,,A,0,fail
242,6.2,99.2,75.4,A,1,pass
58,0.6,85.3,,A,0,fail
234,871.6197932487328,50.0,90.3,A,1,pass
155,8.8,86.6,,A,0,fail
80,10.4h,79.9,,C,1,pass
116,4.1,78.2,,C,0,fail
210,11.5,93.4,90.2,A,1,pass
247,4.0,62.8,,C,0,fail
250,8.2,92.7,,C,1,pass
156,11.3,31.2,44.0,A,0,fail
220,1.9,82.1,50.0,A,0,fail
160,10.1,66.9,,B,1,pass
2,4.3,42.5,,A,0,fail
12,8.2,51.6,63.5,B,0,fail
162,2.8,78.0,61.2,C,0,fail
