order_id,item_weight_kg,distance_km,courier_rating,shipping_method,warehouse_region,delivery_days,actual_delivery_date_note,order_date
ORD1191,4.66,218.0,1.4,standard,South,4.1,delivered late,25/02/2025
ORD1178,2.96,84.2,3.7,express,,0.5,delivered on time,21/02/2025
ORD1124,6.16,136.1,4.0,standard,,3.5,delivered on time,06/02/2025
ORD1047,7.91,243.1,3.3,standard,,3.0,delivered on time,14/01/2025
ORD1128,7.1,187.2,1.4,economy,North,3.7,delivered late,07/02/2025
ORD1214,1.11,102.6,1.6,standard,,3.2,delivered on time,04/03/2025
ORD1006,8.5,495.3,1.4,standard,,5.9,delivered late,02/01/2025
ORD1083,1.88,380.9,4.1,standard,South,4.1,delivered late,25/01/2025
ORD1142,3.19kg,274.6,3.0,standard,West,3.1,delivered on time,11/02/2025
ORD1113,3.88,205.8,2.1,standard,,1.9,delivered on time,02/02/2025
ORD1244,13.37,420.9,4.1,standard,,6.2,delivered late,13/03/2025
ORD1249,12.53,88.4,3.4,express,North,1.3,delivered on time,14/03/2025
ORD1148,7.22,121.0,1.4,standard,,1.5,delivered on time,13/02/2025
ORD1238,9.44,308.2,4.2,economy,,6.5,delivered late,11/03/2025
ORD1069,3.35,214.5,4.2,standard,East,3.2,delivered on time,21/01/2025
ORD1239,1.77,374.8,3.3,economy,West,5.6,delivered late,11/03/2025
ORD1088,13.24,289.2,3.6,standard,,4.6,delivered late,26/01/2025
ORD1011,11.7,301.7,1.3,standard,,5.3,delivered late,04/01/2025
ORD1233,11.25,354.1,2.2,standard,,4.3,delivered late,09/03/2025
ORD1108,12.8,233.2,1.6,standard,,3.9,delivered late,01/02/2025
ORD1118,14.8,241.4,1.7,standard,,3.6,delivered late,04/02/2025
ORD1206,3.07,146.4,3.2,standard,,1.5,delivered on time,02/03/2025
ORD1091,7.45,31.9,1.1,express,North,1.1,delivered on time,27/01/2025
ORD1043,7.6,172.5,3.5,express,,1.4,delivered on time,13/01/2025
ORD1031,14.17,386.7,1.1,standard,East,4.5,delivered late,18/03/2025
ORD1177,1.83,404.6,1.8,express,,3.9,delivered late,21/02/2025
ORD1157,13.57,273.4,3.0,standard,,5.2,delivered late,15/02/2025
ORD1220,13.51,391.7,4.6,standard,East,5.7,delivered late,06/03/2025
ORD1016,2.37,359.8,3.2,standard,East,3.1,delivered on time,17/03/2025
ORD1033,3.78,442.8,3.6,standard,,5.8,delivered late,10/01/2025
ORD1203,13.87kg,419.8,4.7,standard,North,4.3,delivered late,01/03/2025
ORD1121,4.3,1.2,4.2,express,West,0.5,delivered on time,05/02/2025
ORD1067,8.14,211.0,1.5,express,North,3.4,delivered on time,18/03/2025
ORD1216,10.94,399.9,,standard,,5.8,delivered late,05/03/2025
