customer_id,signup_date,age,monthly_income,city,education_level,membership_tier,num_purchases,last_purchase_date,churned
1,2023-01-01,39,9451.15,Davao,masters,silver,5,2023-03-26,0
2,2023-01-01,29,8501.46,Zamboanga,bachelors,bronze,6,2023-08-15,1
3,2023-01-02,63,8923.21,Manila,bachelors,silver,4,2024-02-20,0
4,2023-01-03,39,8475.88,Iloilo,masters,bronze,7,2023-03-11,1
5,2023-01-03,42,11141.52,Manila,bachelors,bronze,8,2023-05-26,0
6,2023-01-04,60,4240.97,Manila,high_school,silver,8,2023-08-12,0
7,2023-01-05,32,2113.85,Zamboanga,bachelors,bronze,7,2024-05-04,0
8,2023-01-05,32,4853.4,Manila,masters,gold,4,2024-01-24,1
9,2023-01-06,58,4079.12,Manila,phd,silver,7,2023-10-30,0
10,2023-01-07,60,8259.42,Manila,bachelors,bronze,7,2024-02-10,1
11,2023-01-08,69,7857.14,Davao,high_school,bronze,7,2023-12-08,0
12,2023-01-08,23,9273.93,Cebu,bachelors,bronze,7,2023-06-02,0
13,2023-01-09,51,10055.38,Cebu,masters,silver,6,2024-03-09,1
14,2023-01-10,40,7358.21,Cebu,high_school,silver,5,2024-03-11,0
15,2023-01-10,64,4546.89,Cebu,high_school,bronze,5,2023-11-13,0
16,2023-01-11,61,5965.44,Zamboanga,bachelors,bronze,10,2024-05-15,0
17,2023-01-12,41,3803.21,Manila,high_school,bronze,2,2023-01-23,0
18,2023-01-13,28,6685.05,Zamboanga,bachelors,gold,3,2023-04-15,1
19,2023-01-13,46,2639.44,Davao,bachelors,silver,12,2024-03-01,0
20,2023-01-14,33,10354.06,Davao,high_school,silver,9,2023-04-29,0
21,2023-01-15,18,5578.44,Cebu,masters,bronze,4,2024-03-23,0
22,2023-01-15,35,11685.32,Manila,high_school,bronze,4,2024-05-11,1
23,2023-01-16,54,8211.96,Manila,bachelors,silver,4,2023-12-17,1
24,2023-01-17,29,2875.62,Cebu,bachelors,gold,9,2024-04-22,1
25,2023-01-18,56,7896.89,Davao,bachelors,silver,3,2023-05-20,1
26,2023-01-18,65,10335.02,Manila,bachelors,bronze,4,2024-05-27,1
27,2023-01-19,42,8695.95,Manila,bachelors,gold,4,2024-02-16,0
28,2023-01-20,46,7197.93,Cebu,bachelors,bronze,7,2023-10-24,0
29,2023-01-20,66,8235.53,Zamboanga,phd,silver,5,2024-01-05,1
30,2023-01-21,61,3242.04,Zamboanga,bachelors,gold,8,2023-12-12,0
31,2023-01-22,31,5828.38,Cebu,bachelors,bronze,6,2023-07-21,0
32,2023-01-22,45,1673.37,Manila,bachelors,bronze,5,2024-04-10,0
33,2023-01-23,64,5576.58,Baguio,bachelors,bronze,9,2023-02-08,0
34,2023-01-24,30,3845.8,Cagayan de Oro,high_school,silver,12,2024-01-11,0
35,2023-01-25,19,6085.51,Davao,high_school,bronze,10,2023-04-16,0
36,2023-01-25,31,3559.98,Manila,bachelors,bronze,2,2023-12-20,0
37,2023-01-26,58,11076.94,Davao,masters,silver,12,2023-05-19,1
38,2023-01-27,67,5606.18,Davao,masters,gold,4,2023-08-10,0
39,2023-01-27,54,1988.05,Cebu,bachelors,silver,6,2024-05-20,0
40,2023-01-28,28,3749.28,Baguio,high_school,silver,4,2023-07-02,0
