user_id,join_date,last_active_date,age,monthly_fee,country,plan_tier,device_rating,shows_watched,avg_session_minutes,cancelled
1,2022-06-01,2024-03-09,60,11.61,USA,premium,good,16,50.1,0
2,2022-06-01,2023-01-06,61,8.15,Philippines,basic,fair,18,141.7,0
3,2022-06-01,2023-07-18,18,15.31,Canada,standard,fair,14,156.1,1
4,2022-06-02,2023-04-20,35,10.7,Philippines,standard,fair,17,121.1,1
5,2022-06-02,2023-11-30,67,16.55,Philippines,basic,excellent,14,102.7,1
6,2022-06-03,2023-01-09,45,8.0,Japan,basic,excellent,18,20.3,0
7,2022-06-03,2023-10-23,67,17.62,Philippines,basic,excellent,18,11.0,0
8,2022-06-04,2023-07-03,57,18.25,India,basic,excellent,6,20.1,0
9,2022-06-04,2022-09-16,33,18.42,Philippines,premium,excellent,11,118.5,0
10,2022-06-05,2023-03-23,40,17.84,Philippines,basic,fair,11,149.9,1
11,2022-06-05,2022-08-04,37,5.43,USA,standard,good,10,46.0,0
12,2022-06-06,2023-03-04,70,16.5,Philippines,basic,fair,14,19.0,0
13,2022-06-06,2024-03-18,70,5.02,Japan,standard,fair,14,124.5,0
14,2022-06-06,2022-07-06,69,8.7,Japan,basic,good,17,59.6,0
15,2022-06-07,2024-02-09,68,7.3,Philippines,basic,good,13,161.2,0
16,2022-06-07,2023-05-09,61,12.15,USA,basic,fair,21,27.0,0
17,2022-06-08,2023-11-16,33,14.55,Philippines,basic,excellent,22,130.4,1
18,2022-06-08,2022-08-28,30,5.02,Canada,basic,excellent,17,163.6,0
19,2022-06-09,2023-02-08,69,17.92,Nigeria,basic,good,14,120.6,1
20,2022-06-09,2022-09-12,34,14.46,Japan,basic,fair,18,170.9,1
21,2022-06-10,2024-04-29,32,14.79,Philippines,standard,fair,20,125.4,0
22,2022-06-10,2022-11-01,65,5.07,Japan,basic,fair,14,171.8,1
23,2022-06-11,2023-03-27,37,8.79,Philippines,standard,fair,18,70.6,0
24,2022-06-11,2024-02-29,50,5.49,Japan,basic,good,14,30.5,0
25,2022-06-12,2023-02-23,22,5.45,USA,standard,fair,11,122.8,0
26,2022-06-12,2024-01-27,70,17.78,USA,standard,good,7,162.3,1
27,2022-06-12,2022-07-01,59,6.06,Philippines,basic,good,15,51.9,0
28,2022-06-13,2023-07-27,64,17.08,USA,premium,fair,13,43.9,1
29,2022-06-13,2023-04-06,21,9.13,Philippines,basic,excellent,14,174.5,0
30,2022-06-14,2022-07-02,21,19.79,Nigeria,premium,excellent,9,116.8,0
31,2022-06-14,2023-03-22,26,7.54,Philippines,standard,fair,18,173.9,0
32,2022-06-15,2023-04-23,35,12.18,USA,basic,fair,12,56.9,1
33,2022-06-15,2022-07-23,56,6.99,Philippines,standard,fair,26,110.4,0
34,2022-06-16,2023-04-05,36,6.85,USA,standard,excellent,15,10.4,0
35,2022-06-16,2023-01-15,25,13.29,Philippines,standard,fair,20,62.1,0
36,2022-06-17,2022-10-31,25,19.9,Germany,premium,fair,18,118.4,0
37,2022-06-17,2024-03-02,29,13.07,India,standard,good,11,33.6,0
38,2022-06-17,2023-03-22,31,5.25,Canada,basic,excellent,14,170.8,1
39,2022-06-18,2023-03-29,65,19.04,Canada,basic,poor,11,108.5,1
40,2022-06-18,2023-04-14,16,13.89,Philippines,basic,fair,11,50.5,0
41,2022-06-19,2022-10-22,55,19.44,Nigeria,premium,good,13,86.0,0
42,2022-06-19,2023-02-20,60,9.17,Brazil,basic,poor,13,17.9,0
43,2022-06-20,2023-01-22,17,8.13,Philippines,basic,excellent,8,20.5,1
44,2022-06-20,2023-12-21,48,15.15,USA,standard,fair,13,156.5,1
45,2022-06-21,2023-12-07,71,11.05,Germany,premium,fair,10,66.6,0
46,2022-06-21,2023-03-28,59,10.17,USA,basic,excellent,11,140.5,1
47,2022-06-22,2022-08-06,44,7.25,USA,standard,fair,10,161.1,0
48,2022-06-22,2023-01-26,48,9.4,Japan,basic,good,19,36.6,0
49,2022-06-23,2023-11-25,30,13.13,Brazil,basic,poor,15,64.8,0
50,2022-06-23,2023-02-20,32,11.41,Philippines,basic,good,18,175.9,1
51,2022-06-23,2023-01-18,62,16.24,Philippines,basic,good,14,138.7,0
52,2022-06-24,2024-05-13,32,12.05,Philippines,basic,good,20,49.2,0
53,2022-06-24,2023-03-05,74,6.53,Germany,premium,good,11,173.2,0
54,2022-06-25,2023-12-10,37,19.72,India,basic,excellent,8,92.4,1
55,2022-06-25,2022-08-13,16,14.89,Brazil,basic,excellent,14,61.5,0
56,2022-06-26,2022-08-02,67,10.77,Germany,basic,good,14,47.9,0
57,2022-06-26,2023-11-10,47,19.41,Brazil,basic,excellent,13,160.0,0
58,2022-06-27,2023-02-02,45,14.59,USA,basic,excellent,19,43.9,0
59,2022-06-27,2023-02-15,40,13.98,USA,standard,good,14,109.7,0
60,2022-06-28,2024-05-14,23,6.16,Brazil,basic,fair,13,70.3,0
61,2022-06-28,2023-03-09,71,19.75,USA,basic,fair,19,98.7,1
62,2022-06-28,2024-01-10,35,9.0,Philippines,basic,excellent,18,38.4,0
63,2022-06-29,2023-11-11,17,18.72,Brazil,basic,excellent,15,134.5,0
64,2022-06-29,2022-11-30,69,17.49,Japan,basic,poor,14,48.7,0
65,2022-06-30,2022-09-10,22,16.35,USA,premium,excellent,15,176.6,1
66,2022-06-30,2024-03-26,42,13.47,USA,basic,good,12,94.7,0
67,2022-07-01,2023-03-14,38,9.56,USA,standard,good,15,140.8,1
68,2022-07-01,2023-09-25,73,7.02,Canada,premium,excellent,18,147.5,1
69,2022-07-02,2023-05-26,73,17.81,USA,premium,poor,16,119.3,0
70,2022-07-02,2022-07-26,46,13.94,USA,basic,fair,14,84.8,0
71,2022-07-03,2023-12-27,25,7.21,Philippines,basic,good,16,134.1,0
72,2022-07-03,2022-07-18,72,17.35,Nigeria,standard,good,13,96.1,0
73,2022-07-04,2022-12-11,19,15.54,Nigeria,premium,good,18,169.9,1
74,2022-07-04,2023-04-03,69,19.6,USA,standard,poor,5,100.7,0
75,2022-07-04,2022-11-23,22,12.85,Philippines,basic,good,19,58.0,1
76,2022-07-05,2023-12-13,23,7.59,Philippines,premium,good,20,19.6,1
77,2022-07-05,2024-04-12,33,6.48,Brazil,basic,excellent,19,80.6,1
78,2022-07-06,2023-05-18,64,9.8,USA,basic,good,13,106.3,0
79,2022-07-06,2023-07-29,37,8.87,USA,standard,fair,18,48.0,0
80,2022-07-07,2023-09-14,16,17.22,USA,premium,good,14,42.1,0
81,2022-07-07,2024-05-25,26,7.88,USA,basic,good,9,167.9,1
82,2022-07-08,2022-11-28,45,14.42,Germany,standard,excellent,19,161.4,0
83,2022-07-08,2022-09-11,57,9.79,Canada,basic,excellent,12,116.3,0
84,2022-07-09,2023-10-04,17,14.82,Nigeria,standard,excellent,21,92.5,1
85,2022-07-09,2023-02-17,60,12.76,Brazil,premium,good,20,14.4,0
86,2022-07-09,2022-10-14,36,18.21,Philippines,basic,good,18,131.9,0
87,2022-07-10,2023-04-29,33,10.05,USA,basic,fair,19,156.4,0
88,2022-07-10,2023-03-20,56,12.51,India,standard,good,18,53.8,0
89,2022-07-11,2023-05-22,51,7.4,Philippines,basic,excellent,15,10.5,0
90,2022-07-11,2023-11-16,55,19.9,Japan,basic,good,15,24.0,0
91,2022-07-12,2023-08-01,36,14.13,Philippines,basic,fair,16,96.4,1
92,2022-07-12,2023-05-10,58,15.36,Philippines,basic,fair,6,21.0,0
93,2022-07-13,2023-10-21,25,11.22,India,basic,excellent,14,165.5,1
94,2022-07-13,2023-10-01,47,16.55,Germany,standard,good,18,153.2,0
95,2022-07-14,2023-02-12,57,18.85,Philippines,premium,good,20,113.6,1
