customer_id,tenure_months,monthly_charge,support_tickets,contract_type,churn
0,56,45.1,3,month-to-month,1
1,37,,2,month-to-month,1
2,41,87.65,2,month-to-month,0
3,53,91.71,2,two-year,0
4,35,82.96,2,month-to-month,0
5,46,117.16,3,month-to-month,1
6,50,53.27,0,two-year,0
7,14,59.83,2,month-to-month,0
8,4,40.29,3,month-to-month,1
9,18,25.07,1,month-to-month,0
10,17,41.29,1,month-to-month,1
11,52,111.55,2,two-year,0
12,54,104.02,1,month-to-month,1
13,1,31.24,3,month-to-month,0
14,30,80.38,2,month-to-month,0
15,49,67.92,1,one-year,0
16,8,79.47,2,month-to-month,0
17,48,85.93,0,two-year,0
18,8,50.67,3,two-year,0
19,28,9999.0,2,two-year,1
20,49,66.58,1,month-to-month,0
21,18,82.81,2,month-to-month,0
22,21,83.52,0,month-to-month,0
23,17,38.39,3,two-year,0
24,43,26.19,1,one-year,0
25,16,61.15,2,month-to-month,1
26,59,96.4,1,one-year,0
27,27,101.52,2,two-year,0
28,29,,2,two-year,0
29,30,31.32,1,one-year,0
30,35,111.34,3,two-year,1
31,33,100.2,0,one-year,0
32,31,107.77,2,month-to-month,1
33,59,72.33,4,month-to-month,1
34,48,111.56,1,one-year,0
35,47,24.67,1,month-to-month,0
36,42,23.03,0,month-to-month,0
37,37,22.02,2,two-year,0
38,21,45.28,0,month-to-month,0
39,59,44.86,0,month-to-month,0
40,28,38.75,2,two-year,0
41,13,76.71,0,month-to-month,0
42,50,23.9,0,two-year,0
43,10,79.04,1,two-year,0
44,51,36.6,1,month-to-month,0
45,37,87.79,1,month-to-month,1
46,7,22.11,0,month-to-month,0
47,3,51.06,2,two-year,1
48,27,113.83,1,month-to-month,1
49,3,73.84,3,month-to-month,1
50,9,101.16,3,two-year,1
51,31,85.8,2,month-to-month,1
52,58,81.08,1,one-year,1
53,28,,5,one-year,0
54,48,77.44,3,month-to-month,1
55,55,23.97,1,month-to-month,0
56,49,100.17,2,month-to-month,0
57,38,116.01,2,month-to-month,1
58,27,105.4,0,month-to-month,1
59,31,25.07,0,one-year,0
60,16,,0,one-year,0
61,30,51.8,1,one-year,0
62,23,,3,month-to-month,0
63,15,82.66,2,month-to-month,0
64,59,99.75,1,two-year,0
65,1,51.37,0,month-to-month,0
66,6,106.28,2,month-to-month,1
67,12,99.71,2,month-to-month,0
68,58,32.91,1,two-year,0
69,41,96.69,1,month-to-month,1
70,53,108.26,1,month-to-month,0
71,12,39.73,2,month-to-month,0
72,43,9999.0,1,one-year,0
73,22,83.87,1,two-year,0
74,29,80.93,3,one-year,1
75,1,29.62,3,month-to-month,0
76,37,86.12,2,month-to-month,1
77,49,83.2,0,one-year,1
78,40,102.39,2,two-year,0
79,10,100.35,1,month-to-month,1
80,32,52.72,2,one-year,0
81,16,92.2,1,month-to-month,0
82,57,106.73,0,month-to-month,0
83,52,109.29,0,month-to-month,0
84,11,36.15,1,one-year,0
85,31,22.67,0,two-year,0
86,56,85.08,1,one-year,0
87,50,,2,month-to-month,0
88,42,9999.0,2,one-year,0
89,38,114.48,0,month-to-month,0
90,3,57.93,3,month-to-month,1
91,44,45.28,3,month-to-month,0
92,28,65.65,1,month-to-month,0
93,6,85.72,1,month-to-month,0
94,15,,1,month-to-month,0
95,32,58.06,1,month-to-month,0
96,43,33.37,2,month-to-month,0
97,30,86.24,1,month-to-month,0
98,37,103.06,0,one-year,0
99,52,57.69,3,one-year,0
100,41,57.17,1,month-to-month,1
101,22,73.95,3,one-year,0
102,38,41.51,0,two-year,0
103,36,44.74,2,month-to-month,1
104,7,52.99,2,month-to-month,0
105,4,65.74,2,month-to-month,1
106,39,28.15,1,one-year,0
107,23,95.27,2,two-year,0
108,36,77.91,0,month-to-month,0
109,20,49.97,2,two-year,1
110,14,27.75,1,one-year,0
111,9,96.32,2,one-year,1
112,23,33.11,1,one-year,0
113,49,33.32,2,two-year,0
114,24,9999.0,0,month-to-month,0
115,23,28.13,2,one-year,1
116,34,110.64,1,month-to-month,0
117,58,46.92,3,month-to-month,0
118,24,50.64,2,one-year,0
119,35,103.28,0,month-to-month,0
120,26,81.99,1,month-to-month,0
121,36,38.71,2,one-year,0
122,27,63.48,0,one-year,0
123,38,108.39,0,one-year,0
124,33,57.54,1,month-to-month,0
125,40,91.09,0,one-year,0
126,57,29.68,0,month-to-month,0
127,9,92.73,1,one-year,0
128,34,97.65,1,month-to-month,0
129,26,102.58,0,one-year,1
130,22,87.42,2,month-to-month,1
131,15,57.07,2,month-to-month,0
132,4,,3,one-year,1
133,24,71.88,1,month-to-month,0
134,49,95.75,3,one-year,0
135,6,39.08,2,month-to-month,1
136,24,46.62,2,month-to-month,0
137,58,73.61,1,month-to-month,0
138,57,94.83,0,one-year,0
139,13,109.66,2,two-year,1
140,1,32.57,2,two-year,0
141,40,38.43,2,month-to-month,0
142,1,99.95,3,one-year,1
143,18,84.45,5,month-to-month,1
144,30,,3,one-year,0
145,52,119.68,2,month-to-month,0
146,6,113.92,2,month-to-month,1
147,40,104.3,1,month-to-month,0
148,32,97.71,0,month-to-month,0
149,8,59.5,0,one-year,0
150,50,84.12,4,one-year,0
151,50,38.44,1,one-year,0
152,29,95.95,2,month-to-month,1
153,56,95.77,1,one-year,0
154,36,92.13,0,month-to-month,0
155,54,64.48,0,one-year,0
156,57,57.82,2,month-to-month,0
157,34,61.98,1,month-to-month,0
158,17,23.33,2,month-to-month,0
159,9,104.43,1,month-to-month,1
160,34,74.24,1,month-to-month,0
161,12,58.75,1,month-to-month,0
162,45,74.8,1,month-to-month,0
163,55,92.16,1,one-year,0
164,15,58.15,2,two-year,0
165,33,103.06,2,month-to-month,0
166,3,111.95,2,month-to-month,1
167,11,58.74,1,one-year,0
168,23,33.78,0,month-to-month,0
169,53,96.04,0,two-year,0
170,58,119.29,1,month-to-month,0
171,38,34.8,0,month-to-month,0
172,35,91.27,1,month-to-month,1
173,34,102.53,0,month-to-month,0
174,4,112.06,2,month-to-month,0
175,23,32.34,1,month-to-month,0
176,59,29.18,2,one-year,0
177,25,118.79,1,two-year,1
178,13,31.68,1,month-to-month,0
179,15,37.68,0,one-year,0
180,43,77.5,0,month-to-month,0
181,3,64.63,0,month-to-month,1
182,58,95.04,1,month-to-month,0
183,52,39.06,0,month-to-month,0
184,34,111.44,2,one-year,0
185,28,41.72,0,one-year,0
186,45,,3,month-to-month,0
187,33,26.76,0,month-to-month,0
188,29,67.34,1,one-year,0
189,20,23.26,4,two-year,0
190,27,51.38,1,one-year,0
191,45,51.22,0,two-year,0
192,4,91.97,3,two-year,1
193,2,65.5,0,one-year,0
194,43,25.68,0,one-year,0
195,22,119.54,2,month-to-month,1
196,48,108.87,2,month-to-month,1
197,2,111.63,1,one-year,1
198,54,44.66,1,two-year,0
199,8,59.41,4,month-to-month,0
200,25,42.72,2,month-to-month,0
201,58,32.49,0,month-to-month,0
202,7,23.3,0,one-year,0
203,39,70.33,2,month-to-month,0
204,43,32.31,2,one-year,0
205,26,37.63,2,month-to-month,0
206,5,106.05,0,one-year,0
207,31,68.42,2,one-year,0
208,26,38.37,2,month-to-month,0
209,52,86.99,1,month-to-month,0
210,41,46.59,1,month-to-month,0
211,21,72.69,3,one-year,0
212,4,48.3,2,month-to-month,0
213,35,71.62,1,month-to-month,0
214,17,82.85,1,month-to-month,0
215,41,73.62,1,month-to-month,0
216,51,59.56,1,one-year,0
217,21,99.08,3,one-year,1
218,54,,2,two-year,1
219,31,37.94,1,one-year,0
220,32,33.63,1,one-year,0
221,46,31.32,1,month-to-month,0
222,47,117.96,2,one-year,0
223,54,114.16,1,one-year,0
224,59,43.07,1,one-year,0
225,9,116.99,0,one-year,0
226,25,40.78,5,one-year,0
227,56,70.65,1,month-to-month,0
228,19,69.74,4,one-year,1
229,1,111.5,1,month-to-month,0
230,34,24.05,0,month-to-month,0
231,45,51.54,0,month-to-month,0
232,44,80.0,2,month-to-month,0
233,48,26.64,0,month-to-month,0
234,38,43.66,1,month-to-month,0
235,9,66.51,0,month-to-month,0
236,50,108.09,2,two-year,0
237,25,96.1,0,one-year,0
238,50,102.9,1,one-year,0
239,49,96.11,1,two-year,0
240,58,90.77,1,month-to-month,0
241,1,104.97,1,month-to-month,1
242,52,88.15,2,month-to-month,0
243,38,,2,month-to-month,0
244,29,50.16,0,two-year,0
245,47,36.76,1,month-to-month,0
246,57,95.65,2,one-year,0
247,31,36.58,0,two-year,0
248,6,111.95,0,month-to-month,0
249,43,79.66,0,one-year,0
250,14,52.94,2,month-to-month,0
251,14,113.66,0,month-to-month,1
252,12,35.51,3,month-to-month,1
253,12,71.45,2,month-to-month,1
254,54,29.16,2,month-to-month,0
255,22,116.54,0,month-to-month,1
256,7,77.54,3,two-year,1
257,11,100.37,3,month-to-month,1
258,24,,1,month-to-month,1
259,21,100.18,3,two-year,1
260,19,90.28,1,month-to-month,0
261,56,84.37,2,two-year,0
262,52,115.06,4,two-year,0
263,34,63.35,2,one-year,0
264,59,61.51,1,month-to-month,0
265,21,89.21,1,month-to-month,1
266,9,103.51,1,month-to-month,1
267,17,,3,month-to-month,1
268,6,86.97,1,month-to-month,0
269,57,40.9,2,month-to-month,0
270,13,75.17,2,two-year,1
271,27,96.92,2,month-to-month,0
272,12,26.53,0,two-year,0
273,58,92.78,0,one-year,0
274,10,21.54,2,month-to-month,0
275,31,115.84,1,month-to-month,0
276,57,66.87,3,month-to-month,0
277,31,60.91,3,month-to-month,0
278,54,92.04,0,two-year,0
279,53,72.33,5,month-to-month,0
280,46,93.08,1,month-to-month,0
281,44,28.48,1,month-to-month,0
282,35,,3,one-year,0
283,35,75.81,0,month-to-month,1
284,50,113.21,2,month-to-month,0
285,26,23.96,3,one-year,0
286,56,65.28,0,month-to-month,0
287,52,83.11,3,one-year,0
288,23,75.07,1,month-to-month,1
289,25,27.42,3,month-to-month,1
290,43,79.32,2,month-to-month,0
291,55,42.22,3,one-year,0
292,6,39.55,2,two-year,1
293,5,107.87,2,one-year,1
294,15,9999.0,2,month-to-month,1
295,26,65.43,1,month-to-month,1
296,10,95.03,3,month-to-month,0
297,31,90.73,2,month-to-month,0
298,32,75.35,1,month-to-month,0
299,57,100.7,3,month-to-month,0
3,53,91.71,2,two-year,0
3,53,91.71,2,two-year,0
